3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
																	
1	Акмолинская ОДРТ:	Зерендинский	Айдабул	33	Казахстан	DigiCipher-II	DSR205K		000-03454-59966-026	201-94762-35012-873	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет	
2	Акмолинская ОДРТ:	Зерендинский	Айдабул	7	Хабар	DigiCipher-II	DSR205K		000-03454-59694-074	201-94762-35008-333	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
3	Акмолинская ОДРТ:	Зерендинский	Айдабул	3	Евразия	DigiCipher-II	DSR205K		000-03454-54358-098	201-94762-29027-579	Основной 	ПРМ ТРК				нет	
4	Акмолинская ОДРТ:	Атбасарский	Атбасар	104.5	КазРВ	DigiCipher-II	DSR-4400		000-03137-28632-104	025-40171-83000-412	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	прямофокусная, d - 2,8м.		нет	
5	Акмолинская ОДРТ:	Атбасарский	Атбасар	53	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND		25859751072	KC7F3001955 (ID 25859751072)	Основной 	"ПРМ АО ""Казтелерадио"""			принадлежность ПРМ ОТРК	нет	
6	Акмолинская ОДРТ:	Атбасарский	Атбасар	3	24Kz	DigiCipher-II	DSR205K		000-03454-60011-167	201-94762-35013-276	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
7	Акмолинская ОДРТ:	Атбасарский	Атбасар	1	Казахстан	DigiCipher-II	DSR-4400		000-03137-99411-200	025-40781-63005-186	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
8	Акмолинская ОДРТ:	Атбасарский	Атбасар	11	Хабар	DigiCipher-II	DSR-4400		000-03137-29015-155	025-40171-88002-015	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
9	Акмолинская ОДРТ:	Атбасарский	Атбасар	8	Евразия	DigiCipher-II	DSR-4400		000-03137-28988-208	025-40171-88001-841	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
10	Акмолинская ОДРТ:	Атбасарский	Атбасар			DigiCipher-II	DSR205K		000-03454-58659-225	201-94762-34004-107	резерв	"ПРМ АО ""Казтелерадио"""				нет	
11	Акмолинская ОДРТ:	Атбасарский	Атбасар			DigiCipher-II	DSR205K		000-03454-58050-250	201-94762-35011-500	резерв	"ПРМ АО ""Казтелерадио"""				нет	
12	Акмолинская ОДРТ:	Атбасарский	Атбасар			DigiCipher-II	DSR205K		000-03454-54360-023	201-94762-29019-116	резерв	ПРМ ТРК				нет	
13	Акмолинская ОДРТ:	Атбасарский	Атбасар			DigiCipher-II	DSR-4400		000-03137-28693-232	025-40171-83000-856	резерв	"ПРМ АО ""Казтелерадио"""				нет	
14	Акмолинская ОДРТ:	Атбасарский	Атбасар			DigiCipher-II	DSR-4400		000-03137-99359-216	025-40781-83006-780	резерв	"ПРМ АО ""Казтелерадио"""				нет	
15	Акмолинская ОДРТ:	Сандыктауский	Балкашино	23	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND		25859813583	KC7F3001953 (ID 25859813583)	Основной 	ПРМ ТРК	"прямофокусная ""Москва"", d 2,5м."		принадлежность ПРМ ОТРК	нет	
16	Акмолинская ОДРТ:	Сандыктауский	Балкашино	2	Казахстан	DigiCipher-II	DSR205K		000-03454-56678-026	201-94762-34000-406	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
17	Акмолинская ОДРТ:	Сандыктауский	Балкашино	100.7	КазРВ	DigiCipher-II	DSR205K		000-03454-59631-025	201-94762-35006-063	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
18	Акмолинская ОДРТ:	Сандыктауский	Балкашино	10	Евразия	DigiCipher-II	DSR205K		000-03454-54425-068	201-94762-29017-563	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
19	Акмолинская ОДРТ:	Сандыктауский	Балкашино	21	24Kz	DigiCipher-II	DSR 402		000-03086-22921-082	070-74750-51014-648	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
20	Акмолинская ОДРТ:	Сандыктауский	Балкашино	5	Хабар	DigiCipher-II	DSR205K		000-03454-57599-155	201-94762-35011-654	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
